Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,lat,lng
670058,EMERUS EMERGENCY HOSPITAL SUGAR LAND,16000 SOUTHWEST FRWY  SUITE 100,SUGAR LAND,TX,77479,FORT BEND,29.5981021,-95.6243564
670095,EMERUS COMMUNITY HOSPITAL,24429 TOMBALL PARKWAY  SUITE 100,TOMBALL,TX,77375,HARRIS,30.0371754,-95.6061684
50327,LOMA LINDA UNIVERSITY MEDICAL CENTER,11234 ANDERSON STREET,LOMA LINDA,CA,92354,SAN BERNARDINO,34.0494519,-117.2641774
660001,COMMONWEALTH HEALTH CENTER,LOWER NAVY HILL RD,SAIPAN,MP,96950,CNMI,15.2086299,145.7303467
450659,PARK PLAZA HOSPITAL,1313 HERMANN DRIVE,HOUSTON,TX,77004,HARRIS,29.72272,-95.3875429
60043,KEEFE MEMORIAL HOSPITAL,602 NORTH 6TH STREET WEST,CHEYENNE WELLS,CO,80810,CHEYENNE,38.8257062,-102.3555891
131315,SYRINGA GENERAL HOSPITAL,607 W. MAIN STREET,GRANGEVILLE,ID,83530-,IDAHO,45.9265605,-116.1271556
500012,YAKIMA REGIONAL MEDICAL & CARDIAC CE,110 SOUTH NINTH AVENUE,YAKIMA,WA,98902,YAKIMA,46.596584,-120.5211861
281339,MEMORIAL HEALTH CARE SYSTEMS,300 NORTH COLUMBIA AVENUE,SEWARD,NE,68434-,SEWARD,40.9100358,-97.0914681
341302,OUR COMMUNITY HOSPITAL,921 JUNIOR HIGH ROAD,SCOTLAND NECK,NC,27874-,HALIFAX,36.1323341,-77.4291154
50528,MEMORIAL HOSPITAL - LOS BANOS,520 WEST I STREET,LOS BANOS,CA,93635-,MERCED,37.0640934,-120.8591356
371314,PHYSICIANS HOSPITAL AT ANADARKO,1002 EAST CENTRAL BLVD,ANADARKO,OK,73005-,CADDO,35.0709729,-98.2277031
450754,HAMILTON GENERAL HOSPITAL,400 NORTH BROWN,HAMILTON,TX,76531-,HAMILTON,31.7031177,-98.1134194
471300,GRACE COTTAGE HOSPITAL,185 GRAFTON ROAD,TOWNSHEND,VT,05353-0216,WINDHAM,43.0489664,-72.6682409
452022,SSH - DALLAS  INC.,2329 PARKER RD,CARROLLTON,TX,75010,DALLAS,33.0456497,-96.8647087
521348,VERNON MEMORIAL HOSPITAL,507 SOUTH MAIN ST,VIROQUA,WI,54665,VERNON,43.5516755,-90.8884737
270074,BLACKFEET COMMUNITY HOSPITAL,760 GOVERNMENT SQUARE,BROWNING,MT,59417,GLACIER,48.5620523,-113.0139662
241320,RIVERVIEW HEALTHCARE ASSOCIATION,123 SOUTH MINNESOTA,CROOKSTON,MN,56716-,POLK,47.7757328,-96.6176644
471302,MT ASCUTNEY HOSPITAL AND HEALTH CENT,289 COUNTY ROAD,WINDSOR,VT,5089,WINDSOR,43.4870908,-72.4028821
443033,QUILLEN REHABILITATION HOSPITAL  A,2511 WESLEY STREET,JOHNSON CITY,TN,37601,WASHINGTON,36.3539518,-82.371802
193028,BATON ROUGE REHAB HOSPITAL,8595 UNITED PLAZA BLVD,BATON ROUGE,LA,70809,EAST BATON ROUGE,30.4102161,-91.0950522
131318,WALTER KNOX MEMORIAL HOSPITAL,1202 EAST LOCUST,EMMETT,ID,83617,GEM,43.8800818,-116.4849889
41323,ASHLEY COUNTY MEDICAL CENTER,1015 UNITY ROAD,CROSSETT,AR,71635-,ASHLEY,33.1384943,-91.9388616
251333,PEARL RIVER COUNTY HOSPITAL,305 WEST MOODY STREET,POPLARVILLE,MS,39470,PEARL RIVER,30.8561759,-89.541876
301302,LITTLETON REGIONAL HEALTHCARE,600 ST. JOHNSBURY ROAD,LITTLETON,NH,03561-,GRAFTON,44.3179174,-71.8253933
301306,FRANKLIN REGIONAL HOSPITAL,15 AIKEN AVENUE,FRANKLIN,NH,03235-1259,MERRIMACK,43.448372,-71.6445298
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743-,SULLIVAN,43.3851398,-72.3424537
100315,VIERA HOSPITAL INC,8745 WICKHAM ROAD,VIERA,FL,32940,BREVARD,28.228301,-80.7293673
220162,DANA-FARBER CANCER INSTITUTE,450 BROOKLINE AVE,BOSTON,MA,2215,SUFFOLK,42.3374515,-71.1081799
471301,GIFFORD MEDICAL CENTER,44 SOUTH MAIN STREET,RANDOLPH,VT,05060-,ORANGE,43.9153845,-72.6641543
471304,NORTH COUNTRY HOSPITAL & HEALTH CTR,189 PROUTY DRIVE,NEWPORT,VT,5855,ORLEANS,44.9554932,-72.2001756
141317,GIBSON AREA HOSPITAL AND HEALTH SVCS,1120 N. MELVIN,GIBSON CITY,IL,60936-,FORD,40.4785276,-88.3702179
141322,ABRAHAM LINCOLN MEMORIAL HOSPITAL,200 STAHLHUT DRIVE,LINCOLN,IL,62656,LOGAN,40.1534836,-89.3900347
141339,TAYLORVILLE MEMORIAL HOSPITAL,201 EAST PLEASANT STREET,TAYLORVILLE,IL,62568,CHRISTIAN,39.5550958,-89.2939243
173028,VIA CHRISTI REHAB CENTER  INC,1151 N. ROCK ROAD,WICHITA,KS,67206-,SEDGWICK,37.703906,-97.2460278
10146,JACKSONVILLE MEDICAL CENTER,1701 PELHAM ROAD SOUTH,JACKSONVILLE,AL,36265,CALHOUN,33.7850205,-85.76314
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,CAMILLA,GA,31728-,MITCHELL,31.229773,-84.2053167
111326,SGMC  LANIER CAMPUS,116 W. THIGPEN AVENUE,LAKELAND,GA,31635-,LANIER,31.0420704,-83.086214
450746,KNOX COUNTY HOSPITAL,712 SOUTH FIFTH,KNOX CITY,TX,79529,,33.4144294,-99.8111422
451359,OCHILTREE GENERAL HOSPITAL,3101 GARRETT DRIVE,PERRYTON,TX,79070-,OCHILTREE,36.3700259,-100.7987427
10034,COMMUNITY HOSPITAL INC.,805 FRIENDSHIP DRIVE,TALLASSEE,AL,36078,ELMORE,32.5338957,-85.9123254
11300,WASHINGTON COUNTY HOSPITAL,ST. STEPHENS AVENUE,CHATOM,AL,36518-,WASHINGTON,31.4563189,-88.2236218
301312,HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,3894,CARROLL,43.5819626,-71.2006687
521347,BALDWIN AREA MEDICAL CENTER  INC.,1100 BERGSLIEN STREET,BALDWIN,WI,54002,ST. CROIX,44.9413403,-92.3787396
201308,HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,4730,AROOSTOOK,46.1315712,-67.8435603
301307,MEMORIAL HOSPITAL,3073 WHITE MOUNTAIN HIGHWAY,NORTH CONWAY,NH,3860,CARROLL,44.0616236,-71.1370883
471307,PORTER HOSPITAL,115 PORTER DRIVE,MIDDLEBURY,VT,05753-8629,ADDISON,44.0000146,-73.1678181
100266,GULF BREEZE HOSPITAL,1100 GULF BREEZE PARKWAY,GULF BREEZE,FL,32561,SANTA ROSA,30.3587004,-87.1578934
153030,REHABILITATION HOSPITAL OF FT WAYNE,7970 WEST JEFFERSON BOULEVARD,FORT WAYNE,IN,46804-,ALLEN,41.0428899,-85.2481637
281364,BEATRICE COMMUNITY HOSPITAL,4800 HOSPITAL PARKWAY,BEATRICE,NE,68310-,GAGE,40.3161806,-96.7495665
100117,BAPTIST MEDICAL CENTER-BEACHES,1350 THIRTEENTH AVENUE SOUTH,JACKSONVILLE BEACH,FL,32250,DUVAL,30.2735349,-81.3981631
201313,SEBASTICOOK VALLEY HOSPITAL,99 GROVE STREET,PITTSFIELD,ME,04967-,SOMERSET,44.7666476,-69.4396809
421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,FAIRFIELD,34.4070464,-81.1196075
421303,WILLIAMSBURG REGIONAL HOSPITAL,WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,WILLIAMSBURG,33.6604053,-79.8200673
493025,SHELTERING ARMS HOSPITAL,8254 ATLEE ROAD,MECHANICSVILLE,VA,23116,HANOVER,37.6287952,-77.3864214
493030,SHELTERING ARMS HOSPITAL SOUTH,13700 ST.FRANCIS BLVD,MIDLOTHIAN,VA,23114,CHESTERFIELD,37.4666189,-77.658713
511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,SPENCER,WV,25276-1060,ROANE,38.813071,-81.369286
511320,JACKSON GENERAL HOSPITAL,PINNELL STREET,RIPLEY,WV,25271,JACKSON,38.8235509,-81.7295039
341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,35.3635024,-79.8906252
341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,35.9887184,-76.9285934
341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,36.0699853,-76.6111672
341324,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,35.939805,-75.618117
341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,MACON,35.184467,-83.379413
341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,35.910967,-82.063088
422008,GHS N GREENVILLE LT ACUTE CARE HOSPI,807 NORTH MAIN STREET,TRAVELERS REST,SC,29690-,GREENVILLE,34.976079,-82.4559814
141315,BCC DBA ILLINI COMMUNITY HOSPITAL,640 WEST WASHINGTON,PITTSFIELD,IL,62363,PIKE,39.6073455,-90.8148195
301301,COTTAGE HOSPITAL,90 SWIFTWATER ROAD,WOODSVILLE,NH,03785-,GRAFTON,44.1354006,-72.023245
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,3584,COOS,44.486993,-71.554385
301309,MONADNOCK COMMUNITY HOSPITAL,452 OLD STREET ROAD,PETERBOROUGH,NH,03458-,HILLSBOROUGH,42.8885572,-71.9360404
471303,NORTHEASTERN VT REGIONAL HOSPITAL,1315 HOSPITAL DRIVE,ST. JOHNSBURY,VT,5819,CALEDONIA,44.4457643,-72.0096979
414000,BUTLER HOSPITAL,345 BLACKSTONE BOULEVARD,PROVIDENCE,RI,2906,PROVIDENCE,41.846263,-71.385631
10021,DALE MEDICAL CENTER,126 HOSPITAL,OZARK,AL,36360-,DALE,31.4513601,-85.6319801
241376,GLACIAL RIDGE HOSPITAL,10 FOURTH AVENUE SE,GLENWOOD,MN,56334-,POPE,45.6465772,-95.3898601
520109,MILE BLUFF MEDICAL CENTER  INC.,1050 DIVISION STREET,MAUSTON,WI,53948-,JUNEAU,43.7830467,-90.0752607
111313,PUTNAM GENERAL HOSPITAL,101 LAKE OCONEE PARKWAY,EATONTON,GA,31024-,PUTNAM,33.4562831,-83.2467388
111333,JEFF DAVIS,163 S TALLAHASSEE ST,HAZLEHURST,GA,31539-,JEFF DAVIS,31.8572004,-82.6068071
241350,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,MN,55767-,CARLTON,46.4414076,-92.7728396
241373,PERHAM MEMORIAL HOSPITAL AND HOME,1000 CONEY STREET WEST,PERHAM,MN,56573,OTTERTAIL,46.5939093,-95.5931883
141310,MENDOTA COMMUNITY HOSPITAL,1401 EAST 12TH ST,MENDOTA,IL,61342-9216,LA SALLE,41.5530314,-89.0875536
141325,OSF SAINT LUKE MEDICAL CENTER,1051 WEST SOUTH STREET,KEWANEE,IL,61443,HENRY,41.220736,-89.9470704
261334,CAH #6 - I70,105 HOSPITAL DRIVE,SWEET SPRINGS,MO,65351,SALINE,38.9636292,-93.4149319
234041,CENTER FOR FORENSIC PHYCHIATRY,1500 MEDICAL CENTER DRIVE,ANN ARBOR,MI,48106,WASHTENAW,42.2848363,-83.7286121
673038,MEMORIAL HERMANN REHAB HOSP KATY,21720 KINGSLAND BLVD 102,KATY,TX,77450,HARRIS,29.77621,-95.7460274
201309,MAYO REGIONAL HOSPITAL,897 WEST MAIN STREET,DOVER-FOXCROFT,ME,04426-,PISCATAQUIS,45.187841,-69.2370847
221300,MARTHAS VINEYARD HOSPITAL,ONE HOSPITAL ROAD,OAK BLUFFS,MA,2557,DUKES,41.4607404,-70.5807041
521320,TOMAH MEMORIAL HOSPITAL,321 BUTTS AVENUE,TOMAH,WI,54660-,MONROE,43.9840774,-90.515593
521356,OCONTO HOSPITAL & MEDICAL CENTER,820 ARBUTUS AVE,OCONTO,WI,54153-,OCONTO,44.8963283,-87.8654865
31311,WINSLOW MEMORIAL HOSPITAL,1501 N WILLIAMSON AVE,WINSLOW,AZ,86047-,NAVAJO,35.0358297,-110.6925977
441305,MACON COUNTY GENERAL HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083-0378,MACON,36.5195828,-86.0264268
241305,RIVERWOOD HEALTHCARE CENTER,200 BUNKER HILL DRIVE,AITKIN,MN,56431-1697,AITKIN,46.5296349,-93.6984153
191318,RIVERLAND MEDICAL CENTER,1700 EE WALLACE BOULEVARD NORTH,FERRIDAY,LA,71334,CONCORDIA,31.6469583,-91.5548418
251337,TIPPAH COUNTY HOSPITAL,1005 HIGHWAY 15 N,RIPLEY,MS,38663,TIPPAH,33.5473362,-89.0955128
41310,STONE COUNTY MEDICAL CENTER,HWY 14 EAST,MOUNTAIN VIEW,AR,72560-2300,STONE,35.8650411,-92.1083448
251304,TALLAHATCHIE CRITICAL ACCESS HOSPITA,CHURCH STREET,CHARLESTON,MS,38921,TALLAHATCHIE,34.0060916,-90.0593593
341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,TRANSYLVANIA,35.2559271,-82.7120587
341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,,36.509544,-81.1145222
491302,CARILION GILES COMMUNITY HOSPITAL,159 HARTLEY WAY,PEARISBURG,VA,24134,GILES,37.3331827,-80.7129522
493027,RIVERSIDE REHABILITATION INSTITUTE,245 CHESAPEAKE BLVD.,NEWPORT NEWS,VA,23607-,NEWPORT NEWS,36.9863005,-76.3927333
371333,CREEK NATION COMMUNITY HOSPITAL,309 NORTH 14TH STREET,OKEMAH,OK,74859,OKFUSKEE,35.4340492,-96.3182333
441314,CAH ACQUISITION COMPANY #11 LLC,326 ASBURY RD,RIPLEY,TN,38063,LAUDERDALE,35.721884,-89.5653881
241356,MILLE LACS HOSPITAL,200 NORTH ELM ST,ONAMIA,MN,56359-,MILLE LACS,46.0731822,-93.6624939
250079,SHARKEY-ISSAQUENA COMM HOSPITAL,108 SOUTH FOURTH STREET,ROLLING FORK,MS,39159,SHARKEY,32.9047116,-90.8850426
421301,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE AREA MEDICAL CENTER,ABBEVILLE,SC,29620,ABBEVILLE,34.1598801,-82.3830348
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,36.0604388,-81.8892477
181321,WAYNE COUNTY HOSPITAL,166 HOSPITAL STREET,MONTICELLO,KY,42633-,WAYNE,36.819822,-84.8669728
233027,REHABILITATION INSTITUTE OF MICHIGAN,261 MACK BLVD,DETROIT,MI,48201,WAYNE COUNTY,42.3498416,-83.0554583
100028,PARRISH MEDICAL CENTER,951 N. WASHINGTON AVE,TITUSVILLE,FL,32799,BREVARD,28.6308071,-80.8240872
100105,INDIAN RIVER MEMORIAL HOSPITA.L,1000 36TH STREET,VERO BEACH,FL,32960,INDIAN RIVER COUNTY,27.6583557,-80.3937643
104059,EASTSIDE PSYCHIATRIC HOSPITAL,2634-J CAPITAL CIRCLE  NE,TALLAHASSEE,FL,32308,LEON,30.4869286,-84.2400632
100130,LAKESIDE MEDICAL CENTER,39200 HOOKER HIGHWAY,BELLE GLADE,FL,33430,PALM BEACH,26.7242508,-80.6710563
100286,PHYSICIANS REGIONAL MEDICAL CENTER,6101 PINE RIDGE ROAD,NAPLES,FL,34119,COLLIER,26.2139589,-81.7320293
101313,MARINERS HOSPITAL,91500 OVERSEAS HIGHWAY,TAVERNIER,FL,33070,MONROE,25.0061111,-80.5221394
103026,ST CATHERINES REHABILITATION HOSPITA,1050 NE 125TH STREET,NORTH  MIAMI,FL,33161,MIAMI-DADE,25.8899154,-80.1776886
103027,ST JOHNS REHABILITATION HOSPITAL,3705 NW 35TH STREET,LAUDERDALE LAKES,FL,33311,BROWARD,26.1726325,-80.1954912
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON,SAN JUAN,PR,00919-1227,,18.4291625,-66.0584745
191306,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,ST. FRANCISVILLE,LA,70775-,WEST FELICIANA PARISH,30.7834965,-91.3665175
241363,STEVENS COMMUNITY MEDICAL CENTER,400 EAST 1ST STREET,MORRIS,MN,56267-,STEVENS,45.5850735,-95.904878
361313,MORROW COUNTY HOSPITAL,651 WEST MARION ROAD,MOUNT GILEAD,OH,43338-,MORROW,40.5481674,-82.8504319
193069,STERLINGTON REHAB HOSPITAL,P O BOX 627,STERLINGTON,LA,71280,OUACHITA,32.7227885,-92.1253854
141309,ADVOCATE EUREKA HOSPITAL,101 SOUTH MAJOR STREET,EUREKA,IL,61530,WOODFORD,40.7207946,-89.271294
501307,ODESSA MEMORIAL HOSPITAL,502 EAST AMENDE,ODESSA,WA,99159-,LINCOLN,47.3314125,-118.6822877
41327,BRADLEY COUNTY MEDICAL CENTER,404 S BRADLEY,WARREN,AR,71671-,BRADLEY,33.6101273,-92.0593201
154064,ASSURANCE HEALTH INDIANAPOLIS,900 NORTH HIGH SCHOOL ROAD,INDIANAPOLIS,IN,46214,MARION,39.7776059,-86.2732981
514011,HIGHLAND-CLARKSBURG HOSPITAL,3 HOSPITAL PLAZA,CLARKSBURG,WV,26301,,39.2712823,-80.3710846
453314,TEXAS SCOTTISH RITE,2222 WELBORN STREET,DALLAS,TX,75219,,32.8022656,-96.8138755
414003,EMMA P. BRADLEY HOSPITAL,1011 VETERANS MEMORIAL PARKWAY,EAST PROVIDENCE,RI,02915-5061,,41.7919974,-71.3672215
14014,BAYPOINTE BEHAVIORAL HEALTH,5750 A SOUTHLAND DRIVE,MOBILE,AL,36693-3316,,30.6244806,-88.1766613
244016,PRAIRIECARE,9400 ZANE AVE N,BROOKLYN PARK,MN,55443,,45.1252675,-93.3540847
450620,DIMMIT REGIONAL HOSPITAL DISTRICT,70440 SPIRAL DRIVE,CARRIZO SPRINGS,TX,78834-,DIMMIT,28.5219292,-99.8606107
131322,FRANKLIN COUNTY MEDICAL CENTER,44 NORTH FIRST EAST,PRESTON,ID,83263-,FRANKLIN,42.097555,-111.8733813
351326,FIRST CARE HEALTH CENTER,115 VIVIAN STREET,PARK RIVER,ND,58278-,WALSH,48.3993909,-97.7442028
33028,HEALTHSOUTH REHABILITATION INSTITUTE,2650 NORTH WYATT DRIVE,TUCSON,AZ,85712,PIMA,32.2559032,-110.8829528
103038,HEALTHSOUTH REHABILITATION HOSPITAL,20601 OLD CUTLER ROAD,MIAMI,FL,33189,DADE,25.57483,-80.34093
103040,HEALTHSOUTH EMERALD COAST REHABILITA,1847 FLORIDA AVENUE,PANAMA CITY,FL,32405,BAY,30.1819692,-85.6694535
111335,LIBERTY REGIONAL MEDICAL CENTER,462 E. G. MILES PARKWAY,HINESVILLE,GA,31313,LIBERTY,31.8394772,-81.6009755
183027,HEALTHSOUTH NORTHERN KENTUCKY REHABI,201 MEDICAL VILLAGE DRIVE,EDGEWOOD,KY,41017,KENTON,39.0123384,-84.5666028
303027,HEALTHSOUTH REHABILITATION HOSPITAL,254 PLEASANT STREET,CONCORD,NH,3301,MERRIMACK,43.1978076,-71.5632765
313035,HEALTHSOUTH REHABILITATION HOSPITAL,2 CENTRE PLAZA,TINTON FALLS,NJ,7724,MONMOUTH,40.2828741,-74.0798552
323027,HEALTHSOUTH REHABILITATION HOSPITAL,7000 JEFFERSON ST.  NE,ALBUQUERQUE,NM,87109,BERNALILLO,35.1600316,-106.5920162
340168,WILMINGTON TREATMENT CENTER INC,2520 TROY DRIVE,WILMINGTON,NC,28401,NEW HANOVER,34.1943217,-77.9294216
400011,HOSPITAL ORIENTE,FONT MARTELO # 100,HUMACAO,PR,792,HUMACAO,57.053,-135.33
453042,HEALTHSOUTH CITY VIEW REHABILITATION,6701 OAKMONT BLVD,FORT WORTH,TX,76132,TARRANT,32.6619355,-97.4128108
453053,HEALTHSOUTH REHABILITATION HOSPITAL,515 WEST 12TH STREET,TEXARKANA,TX,75501,BOWIE,33.4301739,-94.0479996
453059,HEALTHSOUTH REHABILITATION HOSPITAL,18550 IH 45 SOUTH,CONROE,TX,77384,MONTGOMERY,30.18584,-95.45448
501331,PULLMAN REGIONAL HOSPITAL,835 SE BISHOP BLVD,PULLMAN,WA,99163-,WHITMAN,46.7126354,-117.1698366
513027,HEALTHSOUTH WESTERN HILLS REGIONAL R,3 WESTERN HILLS DRIVE,PARKERSBURG,WV,26105,WOOD,39.3056626,-81.5343581
513028,HEALTHSOUTH REHABILITATION HOSPITAL,6900 WEST COUNTRY CLUB DRIVE,HUNTINGTON,WV,35705,CABELL,38.4182174,-82.3381514
513030,HEALTHSOUTH MOUNTAIN VIEW REGIONAL R,1160 VAN VOORHIS ROAD,MORGANTOWN,WV,26505,MONONGALIA,39.65656,-79.9620576
673045,REHABILITATION HOSPITAL OF MESQUITE,1023 N BELT LINE ROAD,MESQUITE,TX,75149,DALLAS,32.7784605,-96.5980986
111311,JENKINS COUNTY HOSPITAL,931 EAST WINTHORPE AVENUE,MILLEN,GA,30442,JENKINS,32.8042804,-81.9344009
293032,HEALTHSOUTH REHABILITATION HOSPITAL,10301 JEFFREYS STREET,HENDERSON,NV,89052,CLARK,36.0010502,-115.1208693
493028,HEALTHSOUTH REHABILITATION HOSPITAL,5700 FITZHUGH AVENUE,RICHMOND,VA,23226,HENRICO,37.5855225,-77.506895
513026,HEALTHSOUTH SOUTHERN HILLS REHABILIT,120 12TH STREET,PRINCETON,WV,24740,MERCER,37.3635519,-81.1114621
111334,CANDLER COUNTY HOSPITAL,400 CEDAR STREET,METTER,GA,30349-0597,CANDLER,32.4071132,-82.0657011
111336,MOUNTAIN LAKES MEDICAL CENTER,162 LEGACY POINT,CLAYTON,GA,30525,RABUN,34.892413,-83.393559
113029,CENTRAL GEORGIA REHAB HOSPITAL,3351 NORTHSIDE DRIVE,MACON,GA,31210-,BIBB,32.893255,-83.6805496
153025,HEALTHSOUTH DEACONESS REHABILITATION,4100 COVERT AVENUE,EVANSVILLE,IN,47714,VANDENBURGH,37.956144,-87.5004722
100050,LARKIN HOSP PALM SPRINGS CAMPUS  LLC,1475 W 75TH STREET,HIALEAH,FL,33012,MIAMI-DADE,25.891089,-80.3131717
114036,ACADIA GREENLEAF HOSPITAL,2209 PINEVIEW DRIVE,VALDOSTA,GA,31602,,30.8602018,-83.2589001
171323,STAFFORD COUNTY HOSPITAL,502 SOUTH BUCKEYE,STAFFORD,KS,67578,STAFFORD,37.956653,-98.5956877
141341,PANA COMMUNITY HOSPITAL,101 E. 9TH STREET,PANA,IL,62557-1716,CHRISTIAN,39.3797547,-89.0843476
184006,NORTHKEY COMMUNITY CARE-INTENSIVE SE,502 FARRELL DRIVE,COVINGTON,KY,41011,,39.049658,-84.5289955
241306,RENVILLE COUNTY HOSPITAL AND CLINICS,100 HEALTH WAY,OLIVIA,MN,56277-1397,RENVILLE,44.7747296,-94.9724885
43026,BAPTIST HEALTH REHABILITATION INSTIT,9601  BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,72205,PULASKI,34.7444214,-92.3810554
103036,WEST GABLES REHABILITATION HOSPITAL,2525 SW 75TH STREET,MIAMI,FL,33155,MIAMI-DADE,25.7469656,-80.316839
381320,COLUMBIA MEMORIAL HOSPITAL,2111 EXCHANGE STREET,ASTORIA,OR,97103,CLATSOP,46.1880935,-123.8190066
444025,CRESTWYN BEHAVIORAL HEALTH,9485 CRESTWYN HILLS COVE,MEMPHIS,TN,38125-8515,,35.0416253,-89.7472066
374017,WILLOW CREST HOSPITAL,130 A STREET SOUTHWEST,MIAMI,OK,74354,,36.8723445,-94.8766797
10032,WEDOWEE HOSPITAL,301 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,33.3166476,-85.487436
111310,MEDICAL CENTER OF PEACH COUNTY,1960 HIGHWAY 247 CONNECTOR,BYRON,GA,31008,PEACH,32.6049154,-83.7593356
443034,BAPTIST MEMORIAL REHAB HOSPITAL,1240 S. GERMANTOWN ROAD,GERMANTOWN,TN,38138,SHELBY,35.1145933,-89.7997823
521341,THE RICHLAND HOSPITAL  INC,333 EAST SECOND STREET,RICHLAND CENTER,WI,53581-,RICHLAND,43.3386786,-90.3823371
670076,HERITAGE PARK SURGICAL HOSPITAL,3601 CALAIS DRIVE,SHERMAN,TX,75090,GRAYSON,33.6767819,-96.6017824
