Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,lat,lng,Rural Versus Urban,CCN Facility Type,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Net Patient Revenue,Net Income,Wage-Related Costs (Core),Total Salaries (adjusted),Contract Labor,Rev Per FTE,CON,Urban,Inpatient %,Outpatient %,Charity %,Uncompensated %,Rev/Discharge,Rev Per Bed,Rev Per Bed Days,Discharges Per Bed,Discharges Per Bed Days,Discharge/FTE,Net Income %,Net Income Score,Labor %,Overhead %,Depreciation %,LbrExp/FTE,Overhead Exp Per Bed
421303,WILLIAMSBURG REGIONAL HOSPITAL,WILLIAMSBURG REGIONAL HOSPITAL,KINGSTREE,SC,29556,33.660405299999994,-79.82006729999998,R,CAH,10/01/2014,09/30/2015,178.56,25.0,9125.0,1144.0,"$21,451,598",$1004052,$nan,$nan,$nan,"$120,137",1.0,0.0,36.1194%,63.8806%,0.8956%,0.8956%,"$18,751","$858,064","$2,351",45.76,0.13,45.76,4.6805%,2,nan%,60.4804%,2.9042%,$nan,"$518,961"
341322,ST LUKES HOSPITAL,220 HOSPITAL DRIVE,COLUMBUS,NC,28722-,35.241628999999996,-82.214564,R,CAH,10/01/2014,09/30/2015,207.22,25.0,9125.0,1056.0,"$35,474,953",$2090050,$nan,$nan,$nan,"$171,195",1.0,0.0,41.6914%,58.3086%,1.2194%,1.2194%,"$33,594","$1,418,998","$3,888",42.24,0.12,42.24,5.8916%,2,nan%,58.2968%,2.9702%,$nan,"$827,230"
421302,FAIRFIELD MEMORIAL HOSPITAL,102 US HWY 31 BYPASS NORTH,WINSBORO,SC,29180-0620,34.4070464,-81.1196075,U,CAH,10/01/2014,09/30/2015,92.57,25.0,9125.0,104.0,"$13,020,665",$-967022,$nan,$nan,$nan,"$140,658",1.0,1.0,7.5465%,92.4535%,2.0058%,2.0058%,"$125,199","$520,827","$1,427",4.16,0.01,4.16,-7.4268%,3,nan%,60.4247%,4.3938%,$nan,"$314,708"
471303,NORTHEASTERN VT REGIONAL HOSPITAL,1315 HOSPITAL DRIVE,ST. JOHNSBURY,VT,05819,44.4457643,-72.0096979,R,CAH,10/01/2014,09/30/2015,339.66,25.0,9125.0,1551.0,"$68,708,566",$368258,$nan,$nan,$nan,"$202,286",1.0,0.0,25.1684%,74.8316%,1.1820%,1.1820%,"$44,300","$2,748,343","$7,530",62.04,0.17,62.04,0.5360%,2,nan%,54.4185%,3.5424%,$nan,"$1,495,606"
251334,CHOCTAW REGIONAL MEDICAL CENTER,CHOCTAW REGIONAL MEDICAL CENTER,ACKERMAN,MS,39735,33.3198981,-89.18263940000001,R,CAH,10/01/2014,09/30/2015,167.13,15.0,5475.0,109.0,"$15,712,163",$-1432298,$nan,$nan,$nan,"$94,012",1.0,0.0,53.6632%,46.3368%,nan%,nan%,"$144,148","$1,047,478","$2,870",7.27,0.02,7.27,-9.1159%,3,nan%,62.2610%,4.9216%,$nan,"$652,169"
111331,MITCHELL COUNTY HOSPITAL,90 STEPHENS STREET,CAMILLA,GA,31728-,31.229772999999998,-84.2053167,R,CAH,10/01/2014,09/30/2015,88.65,25.0,9125.0,108.0,"$28,127,801",$2738585,$nan,$nan,$nan,"$317,290",1.0,0.0,43.3499%,56.6501%,7.4921%,7.4921%,"$260,443","$1,125,112","$3,082",4.32,0.01,4.32,9.7362%,2,nan%,51.6313%,1.7174%,$nan,"$580,909"
201315,STEPHENS MEMORIAL HOSPITAL - CAH,181 MAIN STREET,NORWAY,ME,04268,44.2095554,-70.5324363,R,CAH,10/01/2014,09/30/2015,334.22,25.0,9125.0,1343.0,"$59,320,303",$3617483,$nan,$nan,$nan,"$177,489",1.0,0.0,20.7963%,79.2037%,1.0124%,1.0124%,"$44,170","$2,372,812","$6,501",53.72,0.15,53.72,6.0982%,2,nan%,54.7738%,3.8420%,$nan,"$1,299,679"
301303,WEEKS MEDICAL CENTER,173 MIDDLE STREET,LANCASTER,NH,03584,44.486993,-71.554385,R,CAH,10/01/2014,09/30/2015,223.1,25.0,9125.0,739.0,"$39,255,625",$596221,$nan,$nan,$nan,"$175,955",0.0,0.0,16.4126%,83.5874%,0.8883%,0.8883%,"$53,120","$1,570,225","$4,302",29.56,0.08,29.56,1.5188%,2,nan%,57.2933%,4.1505%,$nan,"$899,633"
301308,VALLEY REGIONAL HOSPITAL,243 ELM STREET,CLAREMONT,NH,03743-,43.3851398,-72.34245370000002,R,CAH,10/01/2014,09/30/2015,256.27,25.0,9125.0,582.0,"$36,584,382",$-1420167,$nan,$nan,$nan,"$142,757",0.0,0.0,15.1643%,84.8357%,0.6547%,0.6547%,"$62,860","$1,463,375","$4,009",23.28,0.06,23.28,-3.8819%,3,nan%,64.1291%,5.3302%,$nan,"$938,449"
511306,ROANE GENERAL HOSPITAL,200 HOSPITAL DRIVE,SPENCER,WV,25276-1060,38.813071,-81.369286,R,CAH,10/01/2014,09/30/2015,205.81,25.0,9125.0,287.0,"$26,645,023",$812709,$nan,$nan,$nan,"$129,464",1.0,0.0,18.7071%,81.2929%,0.6366%,0.6366%,"$92,840","$1,065,801","$2,920",11.48,0.03,11.48,3.0501%,2,nan%,53.8837%,3.1673%,$nan,"$574,293"
511321,ST. JOSEPHS HOSPITAL,1 AMALIA DRIVE,BUCKHANNON,WV,26201-,38.9926405,-80.2357544,R,CAH,10/01/2014,09/30/2015,336.18,25.0,9125.0,1074.0,"$41,873,342",$1791514,$nan,$nan,$nan,"$124,556",1.0,0.0,15.4889%,84.5111%,0.4539%,0.4539%,"$38,988","$1,674,934","$4,589",42.96,0.12,42.96,4.2784%,2,nan%,50.8503%,3.4614%,$nan,"$851,708"
341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712-,35.2559271,-82.7120587,R,CAH,10/01/2014,09/30/2015,295.02,25.0,9125.0,1563.0,"$57,687,946",$4030646,$nan,$nan,$nan,"$195,539",1.0,0.0,17.7484%,82.2516%,2.7597%,2.7597%,"$36,908","$2,307,518","$6,322",62.52,0.17,62.52,6.9870%,2,nan%,79.8600%,4.6133%,$nan,"$1,842,785"
341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,35.910967,-82.063088,R,CAH,11/21/2014,09/30/2015,191.86,25.0,9125.0,1230.0,"$30,900,364",$-1353323,$nan,$nan,$nan,"$161,057",1.0,0.0,13.7045%,86.2955%,2.8521%,2.8521%,"$25,122","$1,236,015","$3,386",49.20,0.13,49.20,-4.3796%,3,nan%,81.3218%,7.8658%,$nan,"$1,005,149"
301312,HUGGINS HOSPITAL,240 SOUTH MAIN STREET,WOLFEBORO,NH,03894,43.5819626,-71.20066870000002,R,CAH,10/01/2014,09/30/2015,321.48,25.0,9125.0,732.0,"$49,862,777",$-876852,$nan,$nan,$nan,"$155,104",0.0,0.0,16.1795%,83.8205%,1.2510%,1.2510%,"$68,119","$1,994,511","$5,464",29.28,0.08,29.28,-1.7585%,2,nan%,66.3995%,5.5366%,$nan,"$1,324,344"
341326,ANGEL MEDICAL CENTER,120 RIVERVIEW STREET,FRANKLIN,NC,28744-,35.184467,-83.379413,R,CAH,10/01/2014,09/30/2015,289.11,25.0,9125.0,2186.0,"$55,018,947",$1616851,$nan,$nan,$nan,"$190,305",1.0,0.0,17.5803%,82.4197%,2.3787%,2.3787%,"$25,169","$2,200,758","$6,029",87.44,0.24,87.44,2.9387%,2,nan%,72.6503%,3.9034%,$nan,"$1,598,858"
111310,MEDICAL CENTER OF PEACH COUNTY,1960 HIGHWAY 247 CONNECTOR,BYRON,GA,31008,32.604915399999996,-83.75933559999999,R,CAH,10/01/2014,09/30/2015,139.89,25.0,9125.0,862.0,"$14,938,151",$-619726,$nan,$nan,$nan,"$106,785",1.0,0.0,33.6804%,66.3196%,6.5776%,6.5776%,"$17,330","$597,526","$1,637",34.48,0.09,34.48,-4.1486%,3,nan%,62.7037%,13.6851%,$nan,"$374,671"
111326,SGMC  LANIER CAMPUS,116 W. THIGPEN AVENUE,LAKELAND,GA,31635-,31.042070399999997,-83.086214,R,CAH,10/01/2014,09/30/2015,78.81,25.0,9125.0,163.0,"$10,728,486",$-736444,$nan,$nan,$nan,"$136,131",1.0,0.0,54.8146%,45.1854%,0.2629%,0.2629%,"$65,819","$429,139","$1,176",6.52,0.02,6.52,-6.8644%,3,nan%,61.8980%,2.6417%,$nan,"$265,629"
341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,36.509544,-81.11452220000002,R,CAH,10/01/2014,09/30/2015,116.94,25.0,9125.0,466.0,"$10,633,792",$-911996,$nan,$nan,$nan,"$90,934",1.0,0.0,24.4485%,75.5515%,0.3805%,0.3805%,"$22,819","$425,352","$1,165",18.64,0.05,18.64,-8.5764%,3,nan%,65.5047%,5.8272%,$nan,"$278,625"
341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,36.06998529999999,-76.6111672,R,CAH,10/01/2014,09/30/2015,274.9,25.0,9125.0,1692.0,"$52,635,150",$10148939,$nan,$nan,$nan,"$191,470",1.0,0.0,29.7831%,70.2169%,5.0444%,5.0444%,"$31,108","$2,105,406","$5,768",67.68,0.19,67.68,19.2817%,1,nan%,48.1895%,4.4927%,$nan,"$1,014,585"
341315,BLADEN COUNTY HOSPITAL,HIGHWAY 701,ELIZABETHTOWN,NC,28337,34.629392100000004,-78.6053637,R,CAH,10/01/2014,09/30/2015,315.0,25.0,9125.0,991.0,"$34,734,295",$247051,$nan,$nan,$nan,"$110,268",1.0,0.0,35.0380%,64.9620%,nan%,nan%,"$35,050","$1,389,372","$3,806",39.64,0.11,39.64,0.7113%,2,nan%,45.7815%,1.3878%,$nan,"$636,076"
341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,35.9887184,-76.9285934,R,CAH,10/01/2014,09/30/2015,35.29,6.0,2190.0,432.0,"$19,949,293",$592790,$nan,$nan,$nan,"$565,296",1.0,0.0,17.1980%,82.8020%,4.6417%,4.6417%,"$46,179","$3,324,882","$9,109",72.00,0.20,72.00,2.9715%,2,nan%,58.2920%,6.9809%,$nan,"$1,938,140"
201308,HOULTON REGIONAL HOSPITAL,20 HARTFORD STREET,HOULTON,ME,04730,46.1315712,-67.84356030000001,R,CAH,10/01/2014,09/30/2015,305.36,25.0,9125.0,1222.0,"$45,987,010",$-414782,$nan,$nan,$nan,"$150,599",1.0,0.0,27.3267%,72.6733%,0.6539%,0.6539%,"$37,633","$1,839,480","$5,040",48.88,0.13,48.88,-0.9020%,2,nan%,55.3656%,2.8288%,$nan,"$1,018,439"
191306,WEST FELICIANA PARISH HOSPITAL,5266 COMMERCE STREET,ST. FRANCISVILLE,LA,70775-,30.783496500000002,-91.3665175,R,CAH,11/01/2014,10/31/2015,125.06,22.0,8030.0,51.0,"$15,620,255",$712282,$nan,$nan,$nan,"$124,902",1.0,0.0,3.9371%,96.0629%,1.7560%,1.7560%,"$306,280","$710,012","$1,945",2.32,0.01,2.32,4.5600%,2,nan%,68.4319%,4.2910%,$nan,"$485,874"
271326,BEARTOOTH BILLINGS CLINIC,2525 NORTH BROADWAY,RED LODGE,MT,59806,45.212402000000004,-109.24392659999998,R,CAH,01/01/2015,06/30/2015,79.94,10.0,1810.0,100.0,"$6,520,474",$816830,$nan,$nan,$nan,"$81,567",1.0,0.0,21.4212%,78.5788%,1.8956%,1.8956%,"$65,205","$652,047","$3,602",10.00,0.06,10.00,12.5272%,1,nan%,61.1506%,9.7870%,$nan,"$398,731"
154060,PARK CENTER  INC.,1909 CAREW STREET,FORT WAYNE,IN,46805,41.093677899999996,-85.10849209999998,U,PH,12/05/2014,06/30/2015,402.23,16.0,3328.0,162.0,"$11,566,417",$-2734286,$nan,$nan,$nan,"$28,756",1.0,1.0,17.8067%,82.1933%,nan%,nan%,"$71,398","$722,901","$3,475",10.12,0.05,10.12,-23.6399%,3,nan%,65.9640%,0.0000%,$nan,"$476,854"
111335,LIBERTY REGIONAL MEDICAL CENTER,462 E. G. MILES PARKWAY,HINESVILLE,GA,31313-,31.8394772,-81.6009755,R,CAH,12/01/2014,11/30/2015,270.67,23.0,8395.0,1663.0,"$46,208,065",$26984,$nan,$nan,$nan,"$170,717",1.0,0.0,30.5186%,69.4814%,1.6015%,1.6015%,"$27,786","$2,009,046","$5,504",72.30,0.20,72.30,0.0584%,2,nan%,55.5063%,4.1570%,$nan,"$1,115,148"
141320,PARIS COMMUNITY HOSPITAL,721 EAST COURT STREET,PARIS,IL,61944-,39.607076299999996,-87.677363,U,CAH,01/01/2015,12/31/2015,223.73,25.0,9125.0,530.0,"$44,520,668",$4209011,$nan,$nan,$nan,"$198,993",1.0,1.0,14.9036%,85.0964%,0.3132%,0.3132%,"$84,001","$1,780,827","$4,879",21.20,0.06,21.20,9.4541%,2,nan%,51.0339%,5.4740%,$nan,"$908,825"
111334,CANDLER COUNTY HOSPITAL,400 CEDAR STREET,METTER,GA,30349-0597,32.4071132,-82.0657011,R,CAH,01/01/2015,12/31/2015,158.56,25.0,9125.0,570.0,"$18,188,202",$-1763092,$nan,$nan,$nan,"$114,709",1.0,0.0,26.5991%,73.4009%,nan%,nan%,"$31,909","$727,528","$1,993",22.80,0.06,22.80,-9.6936%,3,nan%,44.0106%,1.8436%,$nan,"$320,189"
154061,RIVERCREST SPECIALTY HOSPITAL  LLC,1625 E. JEFFERSON BLVD,MISHAWAKA,IN,46545-7103,41.6712174,-86.1588814,U,PH,01/30/2015,12/31/2015,64.51,30.0,10080.0,430.0,"$8,288,895",$315963,$nan,$nan,$nan,"$128,490",1.0,1.0,100.0000%,nan%,nan%,nan%,"$19,276","$276,296",$822,14.33,0.04,14.33,3.8119%,2,nan%,59.3481%,10.9205%,$nan,"$163,977"
511303,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,GRANTSVILLE,WV,26147-,38.92293520000001,-81.0924804,R,CAH,01/01/2015,12/31/2015,190.72,25.0,9125.0,219.0,"$19,300,542",$536484,$nan,$nan,$nan,"$101,198",1.0,0.0,23.0711%,76.9289%,1.4033%,1.4033%,"$88,130","$772,022","$2,115",8.76,0.02,8.76,2.7796%,2,nan%,49.7199%,2.9782%,$nan,"$383,849"
521322,GRANT REGIONAL HEALTH CENTER  INC.,507 SOUTH MONROE STREET,LANCASTER,WI,53813-,42.8438395,-90.7088165,R,CAH,01/01/2015,12/31/2015,174.11,25.0,9125.0,615.0,"$24,311,843",$1116888,$nan,$nan,$nan,"$139,635",0.0,0.0,17.7916%,82.2084%,0.0438%,0.0438%,"$39,531","$972,474","$2,664",24.60,0.07,24.60,4.5940%,2,nan%,51.0029%,5.7258%,$nan,"$495,990"
451370,RED RIVER REGIONAL HOSPITAL,504 LIPSCOMB BLVD,BONHAM,TX,75418-4028,33.5782195,-96.1667017,R,CAH,01/01/2015,12/31/2015,126.26,25.0,9125.0,630.0,"$20,538,156",$3375276,$nan,$nan,$nan,"$162,666",0.0,0.0,39.3323%,60.6677%,0.1574%,0.1574%,"$32,600","$821,526","$2,251",25.20,0.07,25.20,16.4342%,1,nan%,52.4258%,-0.0850%,$nan,"$430,692"
111316,WARM SPRINGS MEDICAL CENTER,5995 SPRING STREET,WARM SPRINGS,GA,31830,32.8893309,-84.68321800000002,R,CAH,01/01/2015,12/31/2015,88.36,25.0,9125.0,244.0,"$11,507,080",$-189034,$nan,$nan,$nan,"$130,230",1.0,0.0,30.4389%,69.5611%,1.3019%,1.3019%,"$47,160","$460,283","$1,261",9.76,0.03,9.76,-1.6428%,2,nan%,59.7421%,1.4617%,$nan,"$274,983"
111336,MOUNTAIN LAKES MEDICAL CENTER,196 RIDGECREST CIRCLE,CLAYTON,GA,30525,34.892413,-83.393559,R,CAH,01/01/2015,12/31/2015,126.68,25.0,9125.0,376.0,"$9,862,145",$-873988,$nan,$nan,$nan,"$77,851",1.0,0.0,18.0093%,81.9907%,0.1862%,0.1862%,"$26,229","$394,486","$1,081",15.04,0.04,15.04,-8.8620%,3,nan%,54.0367%,3.8430%,$nan,"$213,167"
521341,THE RICHLAND HOSPITAL  INC,333 EAST SECOND STREET,RICHLAND CENTER,WI,53581-,43.3386786,-90.38233709999999,R,CAH,01/01/2015,12/31/2015,246.62,25.0,9125.0,1064.0,"$39,062,986",$4687082,$nan,$nan,$nan,"$158,393",0.0,0.0,23.5773%,76.4227%,1.1430%,1.1430%,"$36,713","$1,562,519","$4,281",42.56,0.12,42.56,11.9988%,1,nan%,52.1952%,5.2965%,$nan,"$815,561"
511300,BROADDUS HOSPITAL ASSOCIATION,MANSFIELD HILL,PHILIPPI,WV,26416-,39.1440359,-80.06229509999999,R,CAH,01/01/2015,12/31/2015,132.99,12.0,4380.0,68.0,"$14,520,674",$1518302,$nan,$nan,$nan,"$109,186",1.0,0.0,35.0892%,64.9108%,0.5960%,0.5960%,"$213,539","$1,210,056","$3,315",5.67,0.02,5.67,10.4561%,2,nan%,63.6870%,7.0030%,$nan,"$770,648"
511315,POTOMAC VALLEY HOSPITAL,PIN OAK LANE,KEYSER,WV,26726,39.40974420000001,-79.0040003,R,CAH,01/01/2015,12/31/2015,190.07,25.0,9125.0,654.0,"$20,923,515",$724782,$nan,$nan,$nan,"$110,083",1.0,0.0,17.3871%,82.6129%,0.0279%,0.0279%,"$31,993","$836,941","$2,293",26.16,0.07,26.16,3.4640%,2,nan%,56.5813%,4.2416%,$nan,"$473,552"
241369,UNITED HOSPITAL DISTRICT,515 SOUTH MOORE STREET,BLUE EARTH,MN,56013,43.6341659,-94.10037679999999,R,CAH,01/01/2015,12/31/2015,167.76,24.0,8760.0,378.0,"$26,458,330",$278968,$nan,$nan,$nan,"$157,715",0.0,0.0,25.2807%,74.7193%,0.0163%,0.0163%,"$69,996","$1,102,430","$3,020",15.75,0.04,15.75,1.0544%,2,nan%,60.8120%,7.1257%,$nan,"$670,410"
61324,ASPEN VALLEY HOSPITAL DISTRICT,401 CASTLE CREEK ROAD,ASPEN,CO,81611-,39.1905445,-106.8395937,R,CAH,01/01/2015,12/31/2015,354.02,25.0,9125.0,787.0,"$79,831,581",$16514099,$nan,$nan,$nan,"$225,500",0.0,0.0,24.9003%,75.0997%,0.4703%,0.4703%,"$101,438","$3,193,263","$8,749",31.48,0.09,31.48,20.6862%,1,nan%,64.6252%,12.3118%,$nan,"$2,063,652"
201311,DOWN EAST COMMUNITY HOSPITAL,UPPER COURT STREET,MACHIAS,ME,04654,44.715708899999996,-67.4596483,R,CAH,01/01/2015,12/31/2015,222.28,25.0,9125.0,956.0,"$34,994,330",$-104891,$nan,$nan,$nan,"$157,434",1.0,0.0,18.2073%,81.7927%,2.2170%,2.2170%,"$36,605","$1,399,773","$3,835",38.24,0.10,38.24,-0.2997%,2,nan%,53.3070%,3.3725%,$nan,"$746,177"
331317,LEWIS COUNTY GENERAL HOSPITAL,7785 N. STATE STREET,LOWVILLE,NY,13367,43.7958676,-75.4991891,R,CAH,01/01/2015,12/31/2015,352.9,25.0,9125.0,1079.0,"$55,606,104",$-6832256,$nan,$nan,$nan,"$157,569",1.0,0.0,29.6782%,70.3218%,0.1678%,0.1678%,"$51,535","$2,224,244","$6,094",43.16,0.12,43.16,-12.2869%,3,nan%,79.0632%,5.8296%,$nan,"$1,758,559"
201305,CALAIS REGIONAL HOSPITAL,24 HOSPITAL LANE,CALAIS,ME,04619-,45.1778071,-67.2678647,R,CAH,01/01/2015,12/31/2015,200.14,25.0,9125.0,886.0,"$35,363,958",$-1695452,$nan,$nan,$nan,"$176,696",1.0,0.0,28.6593%,71.3407%,0.0002%,0.0002%,"$39,914","$1,414,558","$3,876",35.44,0.10,35.44,-4.7943%,3,nan%,59.8969%,3.8399%,$nan,"$847,276"
13300,THE CHILDRENS HOSPITAL OF ALABAMA,1600 7TH AVENUE SOUTH,BIRMINGHAM,AL,35233,33.5053682,-86.80587120000001,U,CH,01/01/2015,12/31/2015,3996.0,345.0,125901.0,15462.0,"$642,857,520",$-9597070,"$46,199,514","$236,770,132",$nan,"$160,875",1.0,1.0,63.4538%,36.5462%,nan%,nan%,"$41,577","$1,863,355","$5,106",44.82,0.12,44.82,-1.4929%,2,44.0175%,68.7646%,10.4673%,"$70,813","$1,281,329"
141327,WABASH GENERAL HOSPITAL,1418 COLLEGE DRIVE,MT. CARMEL,IL,62863-,38.4206357,-87.7697223,R,CAH,01/01/2015,12/31/2015,219.83,25.0,9125.0,712.0,"$37,762,552",$2099339,$nan,$nan,$nan,"$171,781",1.0,0.0,30.1580%,69.8420%,0.0700%,0.0700%,"$53,037","$1,510,502","$4,138",28.48,0.08,28.48,5.5593%,2,nan%,59.6593%,5.1056%,$nan,"$901,155"
241316,NORTHERN ITASCA HOSPITAL DISTRICT,258 PINE TREE DRIVE,BIGFORK,MN,56628-0258,47.747780299999995,-93.6444583,R,CAH,01/01/2015,12/31/2015,125.93,20.0,7300.0,312.0,"$22,221,044",$-28363,$nan,$nan,$nan,"$176,456",0.0,0.0,34.3000%,65.7000%,nan%,nan%,"$71,221","$1,111,052","$3,044",15.60,0.04,15.60,-0.1276%,2,nan%,68.9019%,8.8248%,$nan,"$765,536"
111312,SCREVEN COUNTY HOSPITAL,215 MIMS ROAD,SYLVANIA,GA,30476,32.7498791,-81.6468071,R,CAH,01/01/2015,12/31/2015,71.7,25.0,9125.0,221.0,"$9,520,535",$761352,$nan,$nan,$nan,"$132,783",1.0,0.0,20.4885%,79.5115%,1.8660%,1.8660%,"$43,079","$380,821","$1,043",8.84,0.02,8.84,7.9969%,2,nan%,51.5883%,2.3778%,$nan,"$196,459"
141316,HOOPESTON COMMUNITY MEMORIAL HOSPITA,701 EAST ORANGE,HOOPSETON,IL,60942,40.468320899999995,-87.6383797,R,CAH,01/01/2015,12/31/2015,139.71,22.0,8030.0,425.0,"$46,121,442",$-5581093,"$4,082,246","$14,238,070","$237,176","$330,123",1.0,0.0,7.4489%,92.5511%,5.3464%,5.3464%,"$108,521","$2,096,429","$5,744",19.32,0.05,19.32,-12.1009%,3,39.7219%,82.4301%,8.8778%,"$131,131","$1,728,088"
